Due Date,Task,Tag,Notes
2025-11-02,Review Unit 3 – Airspace & ATC,PPLStudy,"Raise to ≥86%. Pattern ops, VFR minima."
2025-11-03,Study Unit 4 (1/3) – FAR 61 & 91,PPLStudy,"Pilot privileges, certificates, recency."
2025-11-04,Study Unit 4 (2/3) – FAR cont.,PPLStudy,"Right-of-way, required docs."
2025-11-05,Study Unit 4 (3/3) – Finish FAR,PPLStudy,"Alcohol/drugs, maintenance, ATC clearances."
2025-11-06,Study Unit 5 (1/2) – Performance,PPLStudy,"Weight & balance, CG, moments."
2025-11-07,Study Unit 5 (2/2) – Performance charts,PPLStudy,"Density altitude, climb, landing dist."
2025-11-08,Study Unit 6 (1/2) – Aeromedical,PPLStudy,"Hypoxia, illusions, fatigue."
2025-11-09,Study Unit 6 (2/2) – ADM,PPLStudy,"PAVE, DECIDE, 3P models."
2025-11-10,Study Unit 7 (1/2) – Weather Theory,PPLStudy,"Fronts, stability."
2025-11-11,Study Unit 7 (2/2) – Weather,PPLStudy,"Clouds, fog, TS, icing."
2025-11-12,Study Unit 8 (1/2) – Weather Services,PPLStudy,"METAR, TAF, winds aloft."
2025-11-13,Study Unit 8 (2/2) – Prog charts,PPLStudy,"SIGMET/AIRMET, radar."
2025-11-14,Study Unit 9 (1/2) – Navigation,PPLStudy,"Sectionals, symbols."
2025-11-15,Study Unit 9 (2/2) – Charts,PPLStudy,"Airspace boundaries, altitudes."
2025-11-16,Study Unit 10 – Nav Systems,PPLStudy,"VOR, DME, GPS."
2025-11-17,Study Unit 11 (1/2) – XC Planning,PPLStudy,"E6B, winds, time/fuel."
2025-11-18,Study Unit 11 (2/2) – XC Performance,PPLStudy,"Alternates, diversions."
2025-11-19,Gleim Practice Tests,Exam,"Take 3 × tests, target ≥90%."
2025-11-21,FAA PPL Written Exam,Exam,"Bring ID, endorsement, E6B, plotter."
2025-11-24,Pre-solo written test with CFI,Flight,Review Part 61.87
2025-11-26,Solo pattern work,Flight,3 takeoffs/landings full-stop
2025-11-30,Cross-country dual 50 nm,Flight,"Plan, navigate, log."
2025-12-05,Solo cross-country,Flight,"≥150 nm, 3 full-stop landings."
2025-12-10,Night dual flight,Flight,3 TO/LDG + navigation.
2025-12-12,Short-field & soft-field,Flight,Practice with CFI.
2025-12-14,Emergency procedures,Flight,Simulated engine out.
2025-12-16,Oral prep sessions,Flight,ASA Oral Guide review.
2025-12-18,PPL Checkride target,Exam,"Review ACS tasks, DPE checklist."
2025-12-21,Enroll in IFR ground school,IFR,Gleim + SkyEagle online.
2025-12-22,File IACRA for IFR,IFR,Verify pilot profile.
2025-12-27,Study Part 61 & 91 IFR sections,IFR,Currency & alternate requirements.
2025-12-30,Learn instrument procedures,IFR,"Holds, intercepts, approaches."
2026-01-02,Sim sessions,IFR,10 hrs under hood.
2026-01-05,IFR Written Exam,Exam,Target ≥85%.
2026-01-20,IFR XC training,IFR,250 nm IFR route.
2026-01-25,IFR Checkride,Exam,Schedule DPE early.
2026-01-26,Start CPL ground theory,CPL,Jeppesen / Gleim modules.
2026-01-28,Study commercial maneuvers,CPL,"Chandelles, Lazy Eights, 180° accuracy."
2026-02-01,Log complex aircraft time,CPL,Arrow or 172RG.
2026-02-03,Observe instructor classes,CFI,Shadow CFI lessons.
2025-11-18,Pack flight & study gear,Admin,"Headset, logbook, E6B, kneeboard."
2025-11-20,Travel to KFXE,Admin,Flights TLV→MIA/FLL.
2025-11-23,Get SIM access at SkyEagle,Admin,Schedule Frasca/Redbird slots.
2025-11-20,Arrange accommodation & transport,Admin,"Confirm hotel/Airbnb, car."
2026-02-04,Return flight home,Admin,Arrive TLV Feb 5.
2025-11-15,TSA Clearance,Admin,For foreign students.
2025-11-21,FAA Medical Class 3,Admin,Dr Brad Douglas MD.
2025-11-21,Endorsement from Gleim,Admin,Before written exam.
2025-12-01,IACRA registration,Admin,Before checkride.
2025-12-07,Update flight logbook,Admin,Weekly updates.
2025-12-30,Create cloud backup copy,Admin,Monthly backups.
