DueDate,Title,Tag,Notes
2025-12-03,"AFH Day 1 – Intro & Part 61E","","Read AFH Ch.1. Skim 61.102–61.103. Make one-page overview of eligibility, tests, and ACS mapping."
2025-12-04,"AFH Day 2 – Ground Ops & Preflight","","Read AFH Ch.2. Write your own preflight-taxi-shutdown checklist linked to 61.105(b)(7),(13) and 61.107(b)(1)(ii),(xii)."
2025-12-05,"AFH Day 3 – Basic Flight Maneuvers","","Read AFH Ch.3. Summarize four fundamentals, climbs/descents/turns. Connect to ACS basic attitude flying tasks."
2025-12-06,"AFH Day 4 – Energy Management","","Read AFH Ch.4. Create 5–7 'energy rules' for climb, descent, and pattern that you can brief before each flight."
2025-12-07,"AFH Day 5 – UPRT, Slow Flight & Stalls","","Study AFH Ch.5 on slow flight, stalls, spins. Map each maneuver to ACS tasks. Practice stall recovery briefing."
2025-12-08,"AFH Day 6 – Takeoffs & Departure Climbs","","Read AFH Ch.6. Build a takeoff briefing template (normal, short, soft, crosswind) with performance and noise-abatement notes."
2025-12-09,"AFH Day 7 – Ground Reference Maneuvers","","Read AFH Ch.7. Draw wind diagrams for rectangular course, S-turns, and turns-around-a-point; note common errors."
2025-12-10,"AFH Day 8 – Patterns & Airport Ops","","Read AFH Ch.8. Create towered vs. non-towered pattern flows (entry, radio, collision avoidance) tied to 61.107(b)(1)(iii)."
2025-12-11,"AFH Day 9 – Approaches & Landings","","Read AFH Ch.9. Make a table of approach/landing types (normal, xwind, short, soft, power-off) with when/how to use them."
2025-12-12,"AFH Day 10 – Performance Maneuvers","","Read AFH Ch.10. Summarize purpose, setup, and common errors for steep turns, chandelles, and steep spirals."
2025-12-13,"AFH Day 11 – Night Operations","","Read AFH Ch.11. Review 61.109 night requirements and 61.107(b)(1)(iv). Build night ops checklist."
2025-12-14,"AFH Day 12 – Emergency Procedures","","Study AFH Ch.18. Build flow-based checklists (engine failure, fire, electrical, off-field landing) linked to your POH."
2025-12-15,"AFH Day 13 – AFH ↔ 61.105/107/109 Map","","Take 61.105(b) and 61.107(b)(1) and write which AFH chapters support each line. Highlight any gaps to fill later."
2025-12-16,"AFH Day 14 – Mock Oral & Review","","Use the Quizlet/Anki deck to run a self-oral on AFH+61E+ACS. Capture weak topics as separate TODO list."
