Due Date,Reminder Title,Tag,Notes
2025-11-07,🧠 Week 1 Day 1: ADM & Human Factors (Spatial Disorientation + CO + Decision Models),PPLStudy,Finish Unit 6 → Retake quiz → Target ≥ 86 %
2025-11-08,✡️ Shabbat – Light Review Only (PHAK Ch 17 Aeromedical),PPLStudy,Offline reading only (no testing)
2025-11-09,⚙️ Week 1 Day 2: Performance & W/B (Density Altitude + Crosswind + CG graphs),PPLStudy,Redo Unit 5 weak areas → Aim ≥ 90 %
2025-11-10,"🌤 Week 1 Day 3: Weather Theory I (Atmosphere, Fronts, Stability)",PPLStudy,Read PHAK Ch 12 + Gleim Unit 7 Part 1 Quiz
2025-11-11,"⛈ Week 1 Day 4: Weather Theory II (Thunderstorms, Icing, Turbulence)",PPLStudy,Unit 7 Part 2 Quiz → Target ≥ 80 %
2025-11-12,🌡 Week 2 Day 1: Weather Services I (METAR / TAF decoding),PPLStudy,Unit 8 Sections 1–4 → Retake questions
2025-11-13,🗺 Week 2 Day 2: Weather Services II (Prog Charts + SIGMET / AIRMET),PPLStudy,"Focus weak topics Prog Charts (56 %), SIGMET (67 %)"
2025-11-14,📚 Week 2 Day 3: Navigation Charts I (Sectionals + Airspace Altitudes),PPLStudy,Unit 9 Part 1 → Drill Sectional symbology
2025-11-15,✡️ Shabbat – Review Sectional Chart Legend (PHAK Appx 2),PPLStudy,Quiet review session
2025-11-16,🧭 Week 2 Day 4: Navigation Charts II (NOTAMs + Chart Supplements),PPLStudy,Re-do Unit 9 NOTAMs (25 %) & Advisory Circulars (50 %)
2025-11-17,📡 Week 3 Day 1: Navigation Systems (VOR + GPS + Pilotage),PPLStudy,Unit 10 Quiz → Target ≥ 85 %
2025-11-18,"🗓 Week 3 Day 2: XC Planning I (Magnetic Course, Wind Correction, E6B)",PPLStudy,Re-calculate sample XC → Time & Fuel Practice
2025-11-19,🧩 Week 3 Day 3: XC Planning II (Mock Test & Review),Exam,3 × Gleim Practice Tests → Avg ≥ 90 %
2025-11-20,✈️ Week 3 Day 4: Travel to Florida – Light Flashcard Review,Admin,Study PHAK summaries on flight
2025-11-21,🏁 Exam Day: FAA PPL Written (KFXE Testing Center),Exam,Bring ID + Endorsement + E6B + Plotter → Goal ≥ 90 %
