Title,Notes
PA.I.A – Pilot qualifications – eligibility,"Review 14 CFR 61.103: age, language, endorsements, knowledge and practical tests."
PA.I.A – Student vs. private privileges,"Compare privileges/limitations of student pilot vs private pilot under Part 61."
PA.I.A – Currency vs. proficiency,"Define difference between currency and proficiency, list what keeps you current as PIC."
PA.I.B – Airworthiness certificates,"Memorize location, validity, and conditions of Airworthiness Certificate and Registration."
PA.I.B – Required documents on board,"Review ARROW: Airworthiness, Registration, Radio (if required), Operating limitations, Weight & balance."
PA.I.B – Required inspections,"Review annual, 100-hour, transponder, ELT, and Pitot-static inspection requirements and intervals."
PA.I.C – Weather basics,"Review stability vs instability, lapse rate, front types, fog types."
PA.I.C – Weather products,"Study METAR, TAF, PIREP, Area Forecast, G-AIRMET, SIGMET, Convective SIGMET."
PA.I.C – Weather briefing flow,"Practice full weather briefing flow (outlook, standard, abbreviated) using 1800WXBRIEF / online tools."
PA.I.E – W&B and performance intro,"Work two sample W&B problems and one takeoff/landing distance problem from POH."
PA.I.E – Performance limitations,"Review density altitude, effects on takeoff roll and climb performance."
PA.I.F – Human factors & IMSAFE,"Memorize IMSAFE checklist and hazardous attitudes with antidotes."
PA.I.F – Aeronautical decision making,"Review PAVE, CARE, TEAM, and DECIDE models."
PA.I.G – Airspace classifications,"Draw airspace classes A–G with weather and visibility requirements."
PA.I.G – Special use airspace,"Review prohibited, restricted, warning, MOA, alert, CFA, TFRs."
PA.I.H – Navigation basics,"Review pilotage, dead reckoning, checkpoints, and course planning."
PA.I.I – Radio communication basics,"Practice standard phraseology for clearance, ground, tower, and CTAF."
PA.I – Oral prep set 1,"Do 30 minutes of rapid-fire Q&A on PA.I topics with your own voice recording."
PA.I – Oral prep set 2,"Review all K-codes in PA.I and mark any weak concepts to revisit."
PA.II.A – Preflight assessment,"Chair-fly full preflight: documents, W&B, fuel, NOTAMs, performance."
PA.II.B – Cockpit management,"Plan checklist order, flow patterns, and document organization in cockpit."
PA.II.C – Engine start & runup logic,"Review reasons behind each step in start and runup checklist."
PA.II.D – Taxi techniques & hot spots,"Review airport diagram, hotspots, and proper taxi speeds and controls."
PA.II – Passenger briefing,"Practice a full passenger briefing including safety, sterile cockpit, and emergency roles."
PA.III – Airport markings & signs,"Review runway markings, taxiway markings, signs, and lighting systems."
PA.III – Runway incursions,"Study hot spots and strategies to prevent runway incursions at KFXE."
PA.IV – Normal T/O and landing,"Chair-fly normal takeoff and landing with all callouts."
PA.IV – Crosswind T/O and landing,"Review crosswind controls, limitations, and go-around criteria."
PA.IV – Short/soft field,"Chair-fly short-field and soft-field takeoff/landing techniques."
PA.V – Ground reference maneuvers,"Review configuration, entry, wind correction, and tolerances for ground ref maneuvers."
PA.VI – Slow flight & stalls,"Chair-fly slow flight, approach-to-landing stall, departure stall with recovery phrase."
PA.VII – Basic instrument maneuvers,"Practice basic scan mentally and note primary vs. supporting instruments."
PA.VIII – Navigation & diversion,"Plan a short cross-country and a mid-flight diversion with times and fuel."
PA.IX – Emergencies overview,"Mentally rehearse engine failure in cruise, after takeoff, and system failures."
PA.X – Night operations,"Review physiology, night illusions, lighting requirements, night currency."
PA.XI – Postflight procedures,"Review postflight inspection, securing aircraft, and discrepancy logging."
ACS Oral – Regs review 1,"Review 61.103, 61.105, 61.107, 61.109 focusing on wording that DPEs love to ask."
ACS Oral – Regs review 2,"Review 91.103, 91.105, 91.107, 91.113, 91.119, 91.151 fuel requirements."
ACS Oral – Systems overview,"Summarize in your own words: engine, ignition, fuel, electrical, pitot-static, vacuum, flaps."
ACS Oral – Airspace flash drill,"Do 20 minutes of self-quiz on airspace and cloud clearance."
ACS Oral – Weather flash drill,"Decode 10 METARs and 10 TAFs from random airports."
ACS Oral – Checkride scenario 1,"Write one full XC scenario and walk through planning, departure, diversion, and abnormal events."
ACS Oral – Checkride scenario 2,"Record yourself answering 'Tell me about your airplane' and refine until smooth."
ACS Oral – Final review,"Create a one-page sheet of your weakest topics from ACS and schedule one review block for each."
