Due Date,Title,Tag,Notes
2025-11-30,Day 1 – C172 POH,,"Emergency items, systems, normal procedures, performance"
2025-11-30,Day 1 – KFXE,,"Taxi, hotspots, frequencies, noise abatement, pattern"
2025-11-30,Day 1 – GNS430,,"Direct-To, FPL, OBS, RAIM, approach logic"
2025-12-01,Day 2 – C172 POH,,"Emergency items, systems, normal procedures, performance"
2025-12-01,Day 2 – KFXE,,"Taxi, hotspots, frequencies, noise abatement, pattern"
2025-12-01,Day 2 – GNS430,,"Direct-To, FPL, OBS, RAIM, approach logic"
2025-12-02,Day 3 – C172 POH,,"Emergency items, systems, normal procedures, performance"
2025-12-02,Day 3 – KFXE,,"Taxi, hotspots, frequencies, noise abatement, pattern"
2025-12-02,Day 3 – GNS430,,"Direct-To, FPL, OBS, RAIM, approach logic"
2025-12-03,Day 4 – C172 POH,,"Emergency items, systems, normal procedures, performance"
2025-12-03,Day 4 – KFXE,,"Taxi, hotspots, frequencies, noise abatement, pattern"
2025-12-03,Day 4 – GNS430,,"Direct-To, FPL, OBS, RAIM, approach logic"
2025-12-04,Day 5 – C172 POH,,"Emergency items, systems, normal procedures, performance"
2025-12-04,Day 5 – KFXE,,"Taxi, hotspots, frequencies, noise abatement, pattern"
2025-12-04,Day 5 – GNS430,,"Direct-To, FPL, OBS, RAIM, approach logic"
